"Cp","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","RegionId","U:0","U:1","U:2","k","p","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus"
-0.83494,-0.14535,-0.037565,0.98867,-1.0841,0.3,0.10619,0,0,0,0,62.006,-3811.4,-2408.7,-2.2025e+05,-8744.6,-17.812,0.29395,-2.5048,69.596
-0.82163,-0.14535,-0.037565,0.98867,-1.0827,0.3,0.10641,0,0,0,0,61.41,-3750.6,-2084.9,-2.1886e+05,-8643.1,-17.62,0.26612,-2.4934,69.222
-0.80809,-0.14527,-0.037643,0.98868,-1.0812,0.3,0.10662,0,0,0,0,60.851,-3688.9,-1805.3,-2.1741e+05,-8563.3,-17.422,0.24218,-2.4758,68.833
-0.7947,-0.14508,-0.037891,0.98869,-1.0798,0.3,0.10682,0,0,0,0,60.346,-3627.7,-1563.4,-2.1597e+05,-8526.2,-17.228,0.22147,-2.4483,68.446
-0.77922,-0.14479,-0.038331,0.98872,-1.0785,0.3,0.10701,0,0,0,0,59.517,-3557.1,-1307.2,-2.1376e+05,-8508.9,-16.931,0.19944,-2.3991,67.851
-0.76187,-0.14443,-0.038856,0.98875,-1.0764,0.3,0.10733,0,0,0,0,58.658,-3477.9,-1118,-2.1163e+05,-8522.5,-16.644,0.18385,-2.3656,67.277
-0.74796,-0.14432,-0.03901,0.98876,-1.0751,0.3,0.10752,0,0,0,0,58.174,-3414.4,-941.68,-2.1059e+05,-8510.4,-16.504,0.16979,-2.3609,66.999
-0.73699,-0.14427,-0.039063,0.98877,-1.0737,0.3,0.10773,0,0,0,0,57.747,-3364.3,-698.34,-2.0981e+05,-8444.9,-16.399,0.14972,-2.354,66.789
-0.72624,-0.14426,-0.039068,0.98877,-1.0722,0.3,0.10794,0,0,0,0,57.368,-3315.2,-440.38,-2.0903e+05,-8357.6,-16.296,0.12843,-2.3435,66.581
-0.7151,-0.14426,-0.039067,0.98877,-1.0707,0.3,0.10815,0,0,0,0,57.034,-3264.4,-172.02,-2.0819e+05,-8252.5,-16.186,0.10649,-2.3318,66.359
-0.70422,-0.14465,-0.039316,0.9887,-1.0694,0.3,0.10835,0,0,0,0,56.753,-3214.7,173.58,-2.0743e+05,-8204.7,-16.085,0.079797,-2.3198,66.157
-0.69258,-0.1476,-0.040724,0.98821,-1.0681,0.3,0.10854,0,0,0,0,56.165,-3161.6,633.1,-2.058e+05,-8480.6,-15.872,0.048892,-2.2948,65.721
-0.67713,-0.15222,-0.04353,0.98739,-1.0659,0.3,0.10887,0,0,0,0,55.477,-3091,734.33,-2.0358e+05,-8964.6,-15.581,0.047376,-2.274,65.123
-0.66057,-0.15344,-0.044663,0.98715,-1.0646,0.3,0.10908,0,0,0,0,55.015,-3015.4,466.4,-2.0174e+05,-9162.4,-15.343,0.06975,-2.2675,64.628
-0.64595,-0.15345,-0.044664,0.98715,-1.0632,0.3,0.1093,0,0,0,0,54.525,-2948.7,311.31,-2.0009e+05,-9085.3,-15.129,0.080255,-2.2554,64.178
-0.6321,-0.15344,-0.044663,0.98715,-1.0617,0.3,0.10952,0,0,0,0,54.032,-2885.5,275.77,-1.9855e+05,-8999.5,-14.931,0.081671,-2.238,63.759
